run_id,backend,material_matrix,material_inclusion,diameter_mm,depth_mm,is_healthy,noise_condition,noise_db,noise_seed,method,is_detected,cnr,defect_contrast,iou,dice,precision,recall,loc_error_mm,loc_error_px,true_diameter_mm,pred_diameter_mm,diam_error_mm,true_area_mm2,pred_area_mm2,area_error_mm2,runtime_seconds,sim_time_seconds,git_commit,config_hash
34,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1006,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.11882460000924766,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
35,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1006,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0016052999999374151,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
36,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1007,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.00041390000842511654,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
37,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1007,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.009357300004921854,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
38,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1007,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.011038199998438358,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
39,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1007,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.15086009999504313,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
40,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1007,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0016662999987602234,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
41,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1008,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.00045579997822642326,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
42,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1008,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.009566199994878843,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
43,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1008,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.012864399992395192,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
44,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1008,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.17001480000908487,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
45,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1008,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0026134000218007714,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
46,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1009,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.000533799990080297,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
