case_id,diameter_mm,depth_mm,is_healthy,snr_db,noise_seed,method_name,is_detected,iou,dice,precision,recall,localization_error_mm,diameter_error_mm,area_error_mm2,cnr,defect_contrast,is_false_positive,specificity,runtime_s
22,12,0.4,0,20,1005,RPT,1,0.746268656716418,0.854700854700855,0.943396226415094,0.78125,0.80741121012791,1.09058495458657,19.6229087214724,1.10819141671482,2.91659564677787,0,1,0.0063535
22,12,0.4,0,20,1006,Raw Contrast,1,0.767123287671233,0.868217054263566,0.861538461538462,0.875,0.169631305160722,0.0814819167491407,1.54111244254875,1.45305776386698,0.836475112870062,0,1,0.0263238
22,12,0.4,0,20,1006,Matched Filter,1,0.515625,0.680412371134021,1,0.515625,0.715143550194702,3.39163843423035,54.8962773281744,1.51170168632933,1.33743693518272,0,1,0.016783
22,12,0.4,0,20,1006,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.55541773991433,0.100012523574514,0,1,0.1048476
22,12,0.4,0,20,1006,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.37963478218975,0.101382278540142,0,1,0.3612525
22,12,0.4,0,20,1006,RPT,1,0.742857142857143,0.852459016393443,0.896551724137931,0.8125,0.628399213289528,0.587585769014034,10.8045665697969,1.13536924625381,2.87094578008876,0,1,0.0079088
22,12,0.4,0,20,1007,Raw Contrast,1,0.779220779220779,0.875912408759124,0.821917808219178,0.9375,0.447370287748639,0.803389567578016,15.6504598852295,1.40668964002123,0.800249573433191,0,1,0.0238707
22,12,0.4,0,20,1007,Matched Filter,1,0.53125,0.693877551020408,1,0.53125,0.464067316824298,3.26218212387534,53.1326088978393,1.50607435205575,1.3033362760613,0,1,0.0169467
22,12,0.4,0,20,1007,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112428,1.94759941513154,33.7322561641532,1.55547969340103,0.099851770872799,0,1,0.1091964
22,12,0.4,0,20,1007,SPCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.37435461703297,0.101242383383177,0,1,0.3774779
22,12,0.4,0,20,1007,RPT,1,0.830985915492958,0.907692307692308,0.893939393939394,0.921875,0.347062763099126,0.174061676122726,3.30478087288384,1.21753615807812,2.8778183811796,0,1,0.0084755
22,12,0.4,0,20,1008,Raw Contrast,1,0.736842105263158,0.848484848484849,0.823529411764706,0.875,1.32970472409055,0.357140545961569,6.83211773355404,1.39336909495914,0.823676595288843,0,1,0.0251939
22,12,0.4,0,20,1008,Matched Filter,1,0.59375,0.745098039215686,1,0.59375,0.391869862418398,2.7624813508422,46.0779351764989,1.55415781748379,1.32404687175291,0,1,0.0172949
22,12,0.4,0,20,1008,PCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.57100381483165,0.10008523572049,0,1,0.1111524
22,12,0.4,0,20,1008,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.39346082725536,0.101709758024285,0,1,0.3855909
22,12,0.4,0,20,1008,RPT,1,0.608695652173913,0.756756756756757,0.666666666666667,0.875,1.43439969159539,1.73419384971341,35.0508126189156,1.12209477444855,2.74834147830854,0,1,0.0087979
22,12,0.4,0,20,1009,Raw Contrast,1,0.816901408450704,0.89922480620155,0.892307692307692,0.90625,0.871563124374126,0.0814819167491407,1.54111244254875,1.47728088486501,0.812378055971993,0,1,0.0303282
22,12,0.4,0,20,1009,Matched Filter,1,0.484375,0.652631578947368,1,0.484375,0.785386334443326,3.65657479997497,58.4236141888445,1.52552657507647,1.28880773926947,0,1,0.0174327
22,12,0.4,0,20,1009,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.57569396342232,0.100212733287458,0,1,0.1230356
22,12,0.4,0,20,1009,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.40291615339755,0.101952895777155,0,1,0.3855964
22,12,0.4,0,20,1009,RPT,1,0.742424242424242,0.852173913043478,0.96078431372549,0.765625,0.828911340082386,1.29840236906257,23.1502455821426,1.14896475636405,2.72618404683946,0,1,0.0077677
22,12,0.4,0,20,1010,Raw Contrast,1,0.808823529411765,0.894308943089431,0.932203389830508,0.859375,0.555522983878297,0.489623335054814,9.04089813946183,1.38626965100198,0.805851818521705,0,1,0.0170551
22,12,0.4,0,20,1010,Matched Filter,1,0.546875,0.707070707070707,1,0.546875,0.533246364019873,3.13461599107927,51.3689404675042,1.44566409456089,1.3311713062748,0,1,0.0158643
22,12,0.4,0,20,1010,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.56240394680517,0.100314669544767,0,1,0.1096157
22,12,0.4,0,20,1010,SPCT,1,0.65625,0.792452830188679,1,0.65625,0.188964474678762,2.28845839473707,39.0232614551585,1.38612596242729,0.10157397390489,0,1,0.4255863
22,12,0.4,0,20,1010,RPT,1,0.595505617977528,0.746478873239437,0.67948717948718,0.828125,1.13326228508255,1.23460034778851,24.468802036905,0.989555672241895,2.60143434491154,0,1,0.0065233
23,12,0.6,0,NaN,1001,Raw Contrast,1,0.015625,0.0307692307692308,0.015625,1,0,83.9054977912513,7110.88855512332,0,NaN,0,1,0.0113362
23,12,0.6,0,NaN,1001,Matched Filter,1,0.015625,0.0307692307692308,0.015625,1,0,83.9054977912513,7110.88855512332,0,NaN,0,1,0.0167099
23,12,0.6,0,NaN,1001,PCT,1,0.015625,0.0307692307692308,0.015625,1,0,83.9054977912513,7110.88855512332,0,NaN,0,1,0.0069972
23,12,0.6,0,NaN,1001,SPCT,1,0.015625,0.0307692307692308,0.015625,1,0,83.9054977912513,7110.88855512332,0,NaN,0,1,0.0688487
23,12,0.6,0,NaN,1001,RPT,1,0.015625,0.0307692307692308,0.015625,1,0,83.9054977912513,7110.88855512332,0,NaN,0,1,0.006466
23,12,0.6,0,30,1001,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.75757043865243,0.56851968613283,0,1,0.02866
23,12,0.6,0,30,1001,Matched Filter,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.73189229112485,0.941401623740116,0,1,0.0167171
23,12,0.6,0,30,1001,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112428,1.94759941513154,33.7322561641532,1.68400618554244,0.106555474491435,0,1,0.1101376
23,12,0.6,0,30,1001,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.4922153187987,0.104023577334035,0,1,0.3745056
23,12,0.6,0,30,1001,RPT,1,0.794871794871795,0.885714285714286,0.815789473684211,0.96875,0.375939849624054,1.06382415631336,20.9414651762348,1.4904027751475,1.93626140264181,0,1,0.004401
23,12,0.6,0,30,1002,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.6819417512732,0.56639122602871,0,1,0.0142807
23,12,0.6,0,30,1002,Matched Filter,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.73291552417572,0.94233279224539,0,1,0.0199709
23,12,0.6,0,30,1002,PCT,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.68056890528601,0.106448078537595,0,1,0.3765482
23,12,0.6,0,30,1002,SPCT,1,0.640625,0.780952380952381,1,0.640625,0.118143201855724,2.40476847796526,40.7869298854936,1.48906863711195,0.103938109962137,0,1,0.2405754
23,12,0.6,0,30,1002,RPT,1,0.765432098765432,0.867132867132867,0.784810126582278,0.96875,0.288780997376963,1.31916734465737,26.2324704672401,1.54041594077252,1.95677106062835,0,1,0.0044525
23,12,0.6,0,30,1003,Raw Contrast,1,0.671875,0.803738317757009,1,0.671875,0.112648169211274,2.17352490767638,37.2595930248234,1.74413838195551,0.57093241082359,0,1,0.0082808
23,12,0.6,0,30,1003,Matched Filter,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.74446021267222,0.946979955758513,0,1,0.0167325
23,12,0.6,0,30,1003,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112433,1.94759941513154,33.7322561641532,1.68307953855474,0.106513184623099,0,1,0.1501498
23,12,0.6,0,30,1003,SPCT,1,0.671875,0.803738317757009,1,0.671875,0.11264816921128,2.17352490767638,37.2595930248234,1.49123468133364,0.103999082715499,0,1,0.2112651
23,12,0.6,0,30,1003,RPT,1,0.855072463768116,0.921875,0.921875,0.921875,0.0520833333333286,0.011812776093592,0.22255598778635,1.51976015040633,2.0049893799186,0,1,0.0037679
23,12,0.6,0,30,1004,Raw Contrast,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.68578732233626,0.557132147130367,0,1,0.0084352
23,12,0.6,0,30,1004,Matched Filter,1,0.6875,0.814814814814815,1,0.6875,0,2.05992026544253,35.4959245944883,1.78719570128686,0.949675863944055,0,1,0.0161748
23,12,0.6,0,30,1004,PCT,1,0.703125,0.825688073394495,1,0.703125,0.123469387112433,1.94759941513154,33.7322561641532,1.68214726554193,0.106529267218579,0,1,0.1438736
